service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name,eta_schedule_id
"44",1,1,1,1,1,1,0,"20230107","20261230",,44
"43",1,1,1,1,1,1,0,"20230107","20261230",,43
"42",1,1,1,1,1,1,0,"20230107","20261230",,42
"41",1,1,1,1,1,1,0,"20230107","20261230",,41
"40",1,1,1,1,1,1,0,"20230107","20261230",,40
"39",1,1,1,1,1,1,0,"20230107","20261230",,39
"38",1,1,1,1,1,1,0,"20230107","20261230",,38
"37",1,1,1,1,1,1,0,"20230107","20261230",,37
"36",1,1,1,1,1,0,0,"20230107","20250925",,36
"35",1,1,1,1,1,0,0,"20230107","20250925",,35
"34",1,1,1,1,1,1,0,"20230107","20250925",,34
"33",1,1,1,1,1,1,0,"20230107","20250925",,33
"32",1,1,1,1,1,1,0,"20230107","20261230",,32
"31",1,1,1,1,1,1,0,"20230107","20261230",,31
"30",1,1,1,1,1,1,0,"20230107","20250925",,30
"29",1,1,1,1,1,1,0,"20230107","20250925",,29
"28",1,1,1,1,1,1,0,"20230107","20250925",,28
"27",1,1,1,1,1,1,0,"20230107","20250925",,27
"26",1,1,1,1,1,1,0,"20230107","20250925",,26
"25",1,1,1,1,1,1,0,"20230107","20250925",,25
"24",1,1,1,1,1,1,0,"20230107","20250925",,24
"23",1,1,1,1,1,1,0,"20230107","20250925",,23
"22",1,1,1,1,1,1,0,"20230107","20250925",,22
"21",1,1,1,1,1,1,0,"20230107","20250925",,21
"20",1,1,1,1,1,1,0,"20230107","20261230",,20
"19",1,1,1,1,1,1,0,"20230107","20261230",,19
"18",1,1,1,1,1,1,0,"20230107","20261230",,18
"17",1,1,1,1,1,1,0,"20230107","20261230",,17
"16",1,1,1,1,1,1,0,"20230107","20261230",,16
"15",1,1,1,1,1,1,0,"20230107","20261230",,15
"14",1,1,1,1,1,1,0,"20230107","20261230",,14
"13",1,1,1,1,1,1,0,"20230107","20261230",,13
"12",1,1,1,1,1,0,0,"20230107","20250925",,12
"11",1,1,1,1,1,0,0,"20230107","20250925",,11
"10",1,1,1,1,1,1,0,"20230107","20250925",,10
"9",1,1,1,1,1,1,0,"20230107","20250925",,9
"8",1,1,1,1,1,1,0,"20230107","20250925",,8
"7",1,1,1,1,1,1,0,"20230107","20250925",,7
"6",1,1,1,1,1,1,0,"20230107","20250925",,6
"5",1,1,1,1,1,1,0,"20230107","20250925",,5
"4",1,1,1,1,1,1,0,"20230107","20250925",,4
"3",1,1,1,1,1,0,0,"20230107","20250925",,3
"2",1,1,1,1,1,0,0,"20230107","20250925",,2
"1",1,1,1,1,1,0,0,"20230107","20250925",,1
