trip_id,stop_id,stop_sequence,arrival_time,departure_time,drop_off_type,shape_dist_traveled,timepoint,stop_headsign
"27345",11494,1,07:00:00,07:00:00,,0.001,1,"1 RIVERSIDE"
"27345",11299,2,07:01:00,07:01:00,,0.190,0,"1 RIVERSIDE"
"27345",11309,3,07:02:00,07:02:00,,0.342,0,"1 RIVERSIDE"
"27345",16512,4,07:04:00,07:04:00,,0.718,0,"1 RIVERSIDE"
"27345",19115,5,07:05:00,07:05:00,,0.932,0,"1 RIVERSIDE"
"27345",19104,6,07:06:00,07:06:00,,1.103,0,"1 RIVERSIDE"
"27345",19087,7,07:07:00,07:07:00,,1.379,0,"1 RIVERSIDE"
"27345",12580,8,07:09:00,07:09:00,,1.723,0,"1 RIVERSIDE"
"27345",19060,9,07:10:00,07:10:00,,2.021,0,"1 RIVERSIDE"
"27345",19039,10,07:12:00,07:12:00,,2.281,0,"1 RIVERSIDE"
"27345",19041,11,07:14:00,07:14:00,,2.518,0,"1 RIVERSIDE"
"27345",19056,12,07:15:00,07:15:00,,2.772,1,"1 DOWNTOWN"
"27345",12412,13,07:16:00,07:16:00,,3.058,0,"1 DOWNTOWN"
"27345",17712,14,07:17:00,07:17:00,,3.212,0,"1 DOWNTOWN"
"27345",12624,15,07:19:00,07:19:00,,3.386,0,"1 DOWNTOWN"
"27345",12648,16,07:20:00,07:20:00,,3.575,0,"1 DOWNTOWN"
"27345",12465,17,07:21:00,07:21:00,,3.729,0,"1 DOWNTOWN"
"27345",12483,18,07:23:00,07:23:00,,3.819,0,"1 DOWNTOWN"
"27345",19094,19,07:24:00,07:24:00,,3.971,0,"1 DOWNTOWN"
"27345",19127,20,07:25:00,07:25:00,,4.150,0,"1 DOWNTOWN"
"27345",16475,21,07:27:00,07:27:00,,4.334,0,"1 DOWNTOWN"
"27345",11321,22,07:29:00,07:29:00,,4.645,0,"1 DOWNTOWN"
"27345",17333,23,07:30:00,07:30:00,,4.923,1,"1 DOWNTOWN"
"27346",11494,1,08:00:00,08:00:00,,0.001,1,"1 RIVERSIDE"
"27346",11299,2,08:01:00,08:01:00,,0.190,0,"1 RIVERSIDE"
"27346",11309,3,08:02:00,08:02:00,,0.342,0,"1 RIVERSIDE"
"27346",16512,4,08:04:00,08:04:00,,0.718,0,"1 RIVERSIDE"
"27346",19115,5,08:05:00,08:05:00,,0.932,0,"1 RIVERSIDE"
"27346",19104,6,08:06:00,08:06:00,,1.103,0,"1 RIVERSIDE"
"27346",19087,7,08:07:00,08:07:00,,1.379,0,"1 RIVERSIDE"
"27346",12580,8,08:09:00,08:09:00,,1.723,0,"1 RIVERSIDE"
"27346",19060,9,08:10:00,08:10:00,,2.021,0,"1 RIVERSIDE"
"27346",19039,10,08:12:00,08:12:00,,2.281,0,"1 RIVERSIDE"
"27346",19041,11,08:14:00,08:14:00,,2.518,0,"1 RIVERSIDE"
