route_id,service_id,trip_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,eta_train_id,block_service_id,block_name
"1","1","28934","1 PVCC/DOWNTOWN","Outbound","06:30:00-1","0","126",,,"28934","1101","1"
"1","1","28935","1 PVCC/DOWNTOWN","Outbound","07:30:00-1","0","126",,,"28935","1101","1"
"1","1","28936","1 PVCC/DOWNTOWN","Outbound","08:30:00-1","0","126",,,"28936","1101","1"
"1","1","28937","1 PVCC/DOWNTOWN","Outbound","09:30:00-1","0","126",,,"28937","1101","1"
"1","1","28938","1 PVCC/DOWNTOWN","Outbound","10:30:00-1","0","126",,,"28938","1101","1"
"1","1","28939","1 PVCC/DOWNTOWN","Outbound","11:30:00-1","0","126",,,"28939","1101","1"
"1","2","28953","1 DOWNTOWN/RIVERSIDE","Inbound","17:00:00-2","1","126",,,"28953","1101","1"
"1","2","28954","1 DOWNTOWN/RIVERSIDE","Inbound","18:00:00-2","1","126",,,"28954","1101","1"
"1","3","27361","1 DOWNTOWN","Inbound","06:15:00-3","1","126",,,"28150","1101","1"
"1","2","28957","1 DOWNTOWN/RIVERSIDE","Inbound","21:00:00-2","1","126",,,"28957","1101","1"
"1","2","28958","1 DOWNTOWN/RIVERSIDE","Inbound","22:00:00-2","1","126",,,"28958","1101","1"
"1","2","27351","1 DOWNTOWN/RIVERSIDE","Inbound","13:00:00-2","1","126",,,"28140","1101","1"
"1","2","28950","1 DOWNTOWN/RIVERSIDE","Inbound","14:00:00-2","1","126",,,"28950","1101","1"
"1","2","28951","1 DOWNTOWN/RIVERSIDE","Inbound","15:00:00-2","1","126",,,"28951","1101","1"
"1","2","28952","1 DOWNTOWN/RIVERSIDE","Inbound","16:00:00-2","1","126",,,"28952","1101","1"
"1","2","27347","1 DOWNTOWN/RIVERSIDE","Inbound","09:00:00-2","1","126",,,"28136","1101","1"
"1","2","27348","1 DOWNTOWN/RIVERSIDE","Inbound","10:00:00-2","1","126",,,"28137","1101","1"
"1","2","27349","1 DOWNTOWN/RIVERSIDE","Inbound","11:00:00-2","1","126",,,"28138","1101","1"
"1","2","27350","1 DOWNTOWN/RIVERSIDE","Inbound","12:00:00-2","1","126",,,"28139","1101","1"
