trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled,timepoint
W&M-SaFull-Sa-154f844,19:31:00,19:31:00,0_2576942,1,,0,1
W&M-SaFull-Sa-154f844,19:35:00,19:35:00,0_2576887,2,,2229,1
W&M-SaFull-Sa-154f844,19:36:00,19:36:00,0_2577037,3,,2943,0
W&M-SaFull-Sa-154f844,19:36:42,19:36:42,0_2577036,4,,3450,0
W&M-SaFull-Sa-154f844,19:37:47,19:37:47,0_2576912,5,,4224,0
W&M-SaFull-Sa-154f844,19:38:35,19:38:35,0_2576901,6,,4796,0
W&M-SaFull-Sa-154f844,19:39:09,19:39:09,0_2576902,7,,5207,0
W&M-SaFull-Sa-154f844,19:40:06,19:40:06,0_2576903,8,,5887,0
W&M-SaFull-Sa-154f844,19:40:59,19:40:59,0_2576904,9,,6525,0
W&M-SaFull-Sa-154f844,19:42:00,19:42:00,0_2577035,10,,7255,1
W&M-SaFull-Sa-154f844,19:42:30,19:42:30,0_2576911,11,,7813,0
W&M-SaFull-Sa-154f844,19:43:28,19:43:28,0_2577034,12,,8901,0
W&M-SaFull-Sa-154f844,19:44:00,19:44:00,0_2577033,13,,9509,1
W&M-SaFull-Sa-154f844,19:45:43,19:45:43,0_4147927,14,,10950,0
W&M-SaFull-Sa-154f844,19:46:27,19:46:27,0_2577031,15,,11579,0
W&M-SaFull-Sa-154f844,19:48:00,19:48:00,0_2577030,16,,12881,0
W&M-SaFull-Sa-154f844,19:49:00,19:49:00,0_2577029,17,,13724,1
W&M-SaFull-Sa-154f844,19:49:47,19:49:47,0_2577028,18,,14001,0
W&M-SaFull-Sa-154f844,19:50:56,19:50:56,0_2577027,19,,14408,0
W&M-SaFull-Sa-154f844,19:52:00,19:52:00,0_2577026,20,,14789,1
W&M-SaFull-Sa-bd7093d-4,18:31:00,18:31:00,0_2576942,1,,0,1
W&M-SaFull-Sa-bd7093d-4,18:35:00,18:35:00,0_2576887,2,,2229,1
W&M-SaFull-Sa-bd7093d-4,18:36:00,18:36:00,0_2577037,3,,2943,0
W&M-SaFull-Sa-bd7093d-4,18:36:42,18:36:42,0_2577036,4,,3450,0
W&M-SaFull-Sa-bd7093d-4,18:37:47,18:37:47,0_2576912,5,,4224,0
W&M-SaFull-Sa-bd7093d-4,18:38:35,18:38:35,0_2576901,6,,4796,0
W&M-SaFull-Sa-bd7093d-4,18:39:09,18:39:09,0_2576902,7,,5207,0
W&M-SaFull-Sa-bd7093d-4,18:40:06,18:40:06,0_2576903,8,,5887,0
W&M-SaFull-Sa-bd7093d-4,18:40:59,18:40:59,0_2576904,9,,6525,0
