service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date,service_name
72985-0000001-0,0,0,0,0,0,0,1,20240929,20250119,2024-09-29 → 2025-01-19 (17 Su)
72986-0000010-0,0,0,0,0,0,1,0,20241005,20250125,2024-10-05 → 2025-01-25 (17 Sa)
72987-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 17 We, 17 Th, 17 Fr)"
7298753-1111100-53,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (14 Mo, 17 Tu, 15 We, 16 Th, 16 Fr)"
7298755-1111100-55,0,0,0,0,1,0,0,20241004,20250124,2024-10-04 → 2025-01-24 (17 Fr)
82013-1111111-0,1,1,1,1,1,1,1,20240929,20250125,"2024-09-29 → 2025-01-25 (17 Mo, 17 Tu, 17 We, 17 Th, 17 Fr, 17 Sa, 17 Su)"
83138-0000010-0,0,0,0,0,0,1,0,20241005,20250125,2024-10-05 → 2025-01-25 (17 Sa)
83139-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 15 We, 16 Th, 17 Fr)"
8313927-1111100-27,1,1,1,1,1,0,0,20240930,20241213,"2024-09-30 → 12-13 (9 Mo, 10 Tu, 10 We, 10 Th, 10 Fr)"
8313965-1111100-65,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (11 Mo, 14 Tu, 14 We, 14 Th, 13 Fr)"
83140-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 15 We, 16 Th, 17 Fr)"
83141-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 15 We, 16 Th, 17 Fr)"
8314111-1111100-11,0,0,0,1,0,0,0,20241003,20250123,"2024-10-03 → 2025-01-23 (We, 16 Th)"
8314161-1111100-61,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (10 Mo, 13 Tu, 14 We, 14 Th, 12 Fr)"
831417-1111100-7,1,0,0,0,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Fr)"
831419-1111100-9,0,0,0,0,1,0,0,20241004,20250124,2024-10-04 → 2025-01-24 (17 Fr)
83142-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 15 We, 16 Th, 17 Fr)"
83143-0000010-0,0,0,0,0,0,1,0,20241005,20250125,2024-10-05 → 2025-01-25 (17 Sa)
83144-0000001-0,0,0,0,0,0,0,1,20240929,20250119,"2024-09-29 → 2025-01-19 (2 We, Th, 17 Su)"
83151-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 15 We, 16 Th, 17 Fr)"
8315115-1111100-15,1,1,1,1,1,0,0,20240930,20241216,"2024-09-30 → 12-16 (10 Mo, 10 Tu, 10 We, 10 Th, 10 Fr)"
8315121-1111100-21,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (11 Mo, 13 Tu, 13 We, 12 Th, 12 Fr)"
83152-0000010-0,0,0,0,0,0,1,0,20241005,20250125,2024-10-05 → 2025-01-25 (17 Sa)
83153-0000001-0,0,0,0,0,0,0,1,20240929,20250119,2024-09-29 → 2025-01-19 (17 Su)
83156-0000001-0,0,0,0,0,0,0,1,20240929,20250119,"2024-09-29 → 2025-01-19 (2 We, Th, 17 Su)"
83157-1111100-0,1,1,1,1,1,0,0,20240930,20250124,"2024-09-30 → 2025-01-24 (17 Mo, 17 Tu, 15 We, 16 Th, 17 Fr)"
