service_id,date,exception_type
7298753-1111100-53,20241014,2
7298753-1111100-53,20241111,2
7298753-1111100-53,20241128,2
7298753-1111100-53,20241129,2
7298753-1111100-53,20241225,2
7298753-1111100-53,20250101,2
7298753-1111100-53,20250120,2
83139-1111100-0,20241128,2
83139-1111100-0,20241225,2
83139-1111100-0,20250101,2
8313927-1111100-27,20241111,2
8313927-1111100-27,20241125,2
8313927-1111100-27,20241126,2
8313927-1111100-27,20241127,2
8313927-1111100-27,20241128,2
8313927-1111100-27,20241129,2
8313965-1111100-65,20241004,2
8313965-1111100-65,20241111,2
8313965-1111100-65,20241125,2
8313965-1111100-65,20241126,2
8313965-1111100-65,20241127,2
8313965-1111100-65,20241128,2
8313965-1111100-65,20241129,2
8313965-1111100-65,20241223,2
8313965-1111100-65,20241224,2
8313965-1111100-65,20241225,2
8313965-1111100-65,20241226,2
8313965-1111100-65,20241227,2
8313965-1111100-65,20241230,2
8313965-1111100-65,20241231,2
8313965-1111100-65,20250101,2
8313965-1111100-65,20250102,2
8313965-1111100-65,20250103,2
8313965-1111100-65,20250106,2
8313965-1111100-65,20250120,2
83140-1111100-0,20241128,2
83140-1111100-0,20241225,2
83140-1111100-0,20250101,2
83141-1111100-0,20241128,2
83141-1111100-0,20241225,2
83141-1111100-0,20250101,2
8314111-1111100-11,20241127,1
8314111-1111100-11,20241128,2
8314161-1111100-61,20241011,2
8314161-1111100-61,20241014,2
8314161-1111100-61,20241111,2
8314161-1111100-61,20241125,2
8314161-1111100-61,20241126,2
8314161-1111100-61,20241127,2
8314161-1111100-61,20241128,2
8314161-1111100-61,20241129,2
8314161-1111100-61,20241220,2
8314161-1111100-61,20241223,2
8314161-1111100-61,20241224,2
8314161-1111100-61,20241225,2
8314161-1111100-61,20241226,2
8314161-1111100-61,20241227,2
8314161-1111100-61,20241230,2
8314161-1111100-61,20241231,2
8314161-1111100-61,20250101,2
8314161-1111100-61,20250102,2
8314161-1111100-61,20250103,2
8314161-1111100-61,20250106,2
8314161-1111100-61,20250107,2
8314161-1111100-61,20250120,2
83142-1111100-0,20241128,2
83142-1111100-0,20241225,2
83142-1111100-0,20250101,2
83144-0000001-0,20241128,1
83144-0000001-0,20241225,1
83144-0000001-0,20250101,1
83151-1111100-0,20241128,2
83151-1111100-0,20241225,2
83151-1111100-0,20250101,2
8315115-1111100-15,20241111,2
8315115-1111100-15,20241125,2
8315115-1111100-15,20241126,2
8315115-1111100-15,20241127,2
8315115-1111100-15,20241128,2
8315115-1111100-15,20241129,2
8315121-1111100-21,20241111,2
8315121-1111100-21,20241128,2
8315121-1111100-21,20241129,2
8315121-1111100-21,20241209,2
8315121-1111100-21,20241210,2
8315121-1111100-21,20241211,2
8315121-1111100-21,20241212,2
8315121-1111100-21,20241213,2
8315121-1111100-21,20241216,2
8315121-1111100-21,20241217,2
8315121-1111100-21,20241218,2
8315121-1111100-21,20241219,2
8315121-1111100-21,20241220,2
8315121-1111100-21,20241223,2
8315121-1111100-21,20241224,2
8315121-1111100-21,20241225,2
8315121-1111100-21,20241226,2
8315121-1111100-21,20241227,2
8315121-1111100-21,20241230,2
8315121-1111100-21,20241231,2
8315121-1111100-21,20250101,2
8315121-1111100-21,20250102,2
8315121-1111100-21,20250103,2
8315121-1111100-21,20250120,2
83156-0000001-0,20241128,1
83156-0000001-0,20241225,1
83156-0000001-0,20250101,1
83157-1111100-0,20241128,2
83157-1111100-0,20241225,2
83157-1111100-0,20250101,2
8315719-1111100-19,20241111,2
8315719-1111100-19,20241128,2
8315719-1111100-19,20241129,2
83175-0000001-0,20241128,1
83175-0000001-0,20241204,2
83175-0000001-0,20241211,2
83175-0000001-0,20241218,2
83610-1111100-0,20241128,2
83610-1111100-0,20241225,2
83610-1111100-0,20250101,2
8361059-1111100-59,20241004,2
8361059-1111100-59,20241111,2
8361059-1111100-59,20241125,2
8361059-1111100-59,20241126,2
8361059-1111100-59,20241127,2
8361059-1111100-59,20241128,2
8361059-1111100-59,20241129,2
8361059-1111100-59,20241223,2
8361059-1111100-59,20241224,2
8361059-1111100-59,20241225,2
8361059-1111100-59,20241226,2
8361059-1111100-59,20241227,2
8361059-1111100-59,20241230,2
8361059-1111100-59,20241231,2
8361059-1111100-59,20250101,2
8361059-1111100-59,20250102,2
8361059-1111100-59,20250103,2
8361059-1111100-59,20250120,2
8361163-0000010-63,20241026,1
8361163-0000010-63,20241214,1
83612-0000001-0,20241128,1
83612-0000001-0,20250101,1
8361263-0000001-63,20241124,1
8361263-0000001-63,20250101,1
S2_7298753-1111100-53,20250217,2
S2_7298753-1111100-53,20250526,2
S2_83811-1111100-0,20250217,2
S2_83811-1111100-0,20250526,2
S2_83812-1111100-0,20250217,2
S2_83812-1111100-0,20250526,2
S2_83824-1111100-0,20250217,2
S2_83824-1111100-0,20250526,2
S2_8382461-1111100-61,20250210,2
S2_8382461-1111100-61,20250217,2
S2_8382461-1111100-61,20250314,2
S2_8382461-1111100-61,20250317,2
S2_8382461-1111100-61,20250407,2
S2_8382461-1111100-61,20250408,2
S2_8382461-1111100-61,20250409,2
S2_8382461-1111100-61,20250410,2
S2_8382461-1111100-61,20250411,2
S2_8382461-1111100-61,20250414,2
S2_8382461-1111100-61,20250415,2
S2_8382461-1111100-61,20250416,2
S2_8382461-1111100-61,20250417,2
S2_8382461-1111100-61,20250418,2
S2_8382461-1111100-61,20250526,2
S2_838247-1111100-7,20250318,1
S2_838247-1111100-7,20250527,1
S2_838247-1111100-7,20250217,2
S2_838247-1111100-7,20250317,2
S2_838247-1111100-7,20250526,2
