rule_priority,network_id,from_area_id,to_area_id,fare_product_id
200,south-county-routes,,,1
200,paso-robles-routes,,,1
200,south-county-routes,,,1-discount
200,paso-robles-routes,,,1-discount
100,,1,1,5
100,,1,3,2
100,,2,2,5
100,,2,3,2
100,,2,7,2
100,,3,1,2
100,,3,2,2
100,,3,3,5
100,,3,7,3
100,,4,4,5
100,,4,6,2
100,,4,7,3
100,,4,10,2
100,,5,5,5
100,,5,7,4
100,,5,8,2
100,,5,9,2
100,,5,11,5
100,,6,4,2
100,,6,6,5
100,,6,7,2
100,,6,10,3
100,,7,2,2
100,,7,3,3
100,,7,4,3
100,,7,5,4
100,,7,6,2
100,,7,7,5
100,,7,8,4
100,,7,9,2
100,,7,10,4
100,,7,11,3
100,,8,5,2
100,,8,7,4
100,,8,8,5
100,,8,9,3
100,,8,11,2
100,,9,5,2
100,,9,7,2
100,,9,8,3
100,,9,9,5
100,,9,11,5
100,,10,4,2
100,,10,6,3
100,,10,7,4
100,,10,10,5
100,,11,5,5
100,,11,7,3
100,,11,8,2
100,,11,9,5
100,,11,11,5
100,,1,1,5-discount
100,,1,3,2-discount
100,,2,2,5-discount
100,,2,3,2-discount
100,,2,7,2-discount
100,,3,1,2-discount
100,,3,2,2-discount
100,,3,3,5-discount
100,,3,7,3-discount
100,,4,4,5-discount
100,,4,6,2-discount
100,,4,7,3-discount
100,,4,10,2-discount
100,,5,5,5-discount
100,,5,7,4-discount
100,,5,8,2-discount
100,,5,9,2-discount
100,,5,11,5-discount
100,,6,4,2-discount
100,,6,6,5-discount
100,,6,7,2-discount
100,,6,10,3-discount
100,,7,2,2-discount
100,,7,3,3-discount
100,,7,4,3-discount
100,,7,5,4-discount
100,,7,6,2-discount
100,,7,7,5-discount
100,,7,8,4-discount
100,,7,9,2-discount
100,,7,10,4-discount
100,,7,11,3-discount
100,,8,5,2-discount
100,,8,7,4-discount
100,,8,8,5-discount
100,,8,9,3-discount
100,,8,11,2-discount
100,,9,5,2-discount
100,,9,7,2-discount
100,,9,8,3-discount
100,,9,9,5-discount
100,,9,11,5-discount
100,,10,4,2-discount
100,,10,6,3-discount
100,,10,7,4-discount
100,,10,10,5-discount
100,,11,5,5-discount
100,,11,7,3-discount
100,,11,8,2-discount
100,,11,9,5-discount
100,,11,11,5-discount
0,,,,regional-day-pass
0,south-county-routes,,,south-county-day-pass
0,south-county-routes,,,south-county-discount-day-pass
