fare_id,route_id,origin_id,destination_id,contains_id
"2","9N",5,8,
"2","9N",5,9,
"2","9N",7,9,
"2","9N",8,5,
"2","9N",8,11,
"2","9N",9,5,
"2","9N",9,7,
"2","9N",11,8,
"3","9N",7,11,
"3","9N",8,9,
"3","9N",9,8,
"3","9N",11,7,
"4","9N",5,7,
"4","9N",7,5,
"4","9N",7,8,
"4","9N",8,7,
"5","9N",5,5,
"5","9N",5,11,
"5","9N",7,7,
"5","9N",8,8,
"5","9N",9,9,
"5","9N",9,11,
"5","9N",11,5,
"5","9N",11,9,
"5","9N",11,11,
"2","9S",5,8,
"2","9S",5,9,
"2","9S",7,9,
"2","9S",8,5,
"2","9S",8,11,
"2","9S",9,5,
"2","9S",9,7,
"2","9S",11,8,
"3","9S",7,11,
"3","9S",8,9,
"3","9S",9,8,
"3","9S",11,7,
"4","9S",5,7,
"4","9S",7,5,
"4","9S",7,8,
"4","9S",8,7,
"5","9S",5,5,
"5","9S",5,11,
"5","9S",7,7,
"5","9S",8,8,
"5","9S",9,9,
"5","9S",9,11,
"5","9S",11,5,
"5","9S",11,9,
"5","9S",11,11,
"2","10N",4,6,
"2","10N",4,10,
"2","10N",6,4,
"2","10N",6,7,
"2","10N",7,6,
"2","10N",10,4,
"3","10N",4,7,
"3","10N",6,10,
"3","10N",7,4,
"3","10N",10,6,
"4","10N",7,10,
"4","10N",10,7,
"5","10N",4,4,
"5","10N",6,6,
"5","10N",7,7,
"5","10N",10,10,
"2","10S",4,6,
"2","10S",4,10,
"2","10S",6,4,
"2","10S",6,7,
"2","10S",7,6,
"2","10S",10,4,
"3","10S",4,7,
"3","10S",6,10,
"3","10S",7,4,
"3","10S",10,6,
"4","10S",7,10,
"4","10S",10,7,
"5","10S",4,4,
"5","10S",6,6,
"5","10S",7,7,
"5","10S",10,10,
"2","12N",2,3,
"2","12N",2,7,
"2","12N",3,2,
"2","12N",7,2,
"3","12N",3,7,
"3","12N",7,3,
"5","12N",2,2,
"5","12N",3,3,
"5","12N",7,7,
"2","12S",2,3,
"2","12S",2,7,
"2","12S",3,2,
"2","12S",7,2,
"3","12S",3,7,
"3","12S",7,3,
"5","12S",2,2,
"5","12S",3,3,
"5","12S",7,7,
"2","14N",2,7,
"2","14N",7,2,
"5","14N",2,2,
"5","14N",7,7,
"2","15N",1,3,
"2","15N",3,1,
"5","15N",1,1,
"5","15N",3,3,
"2","15S",1,3,
"2","15S",3,1,
"5","15S",1,1,
"5","15S",3,3,
"1","21",,,
"1","24",,,
"1","27",,,
"1","28",,,
"1","A",,,
"1","B",,,
