route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
"9N",1,"9N","RTA - Paso Robles / Cuesta College North / San Miguel",3,6CAF2D,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=9N"
"9S",1,"9S","RTA -  Cuesta College North / Paso Robles",3,6CAF2D,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=9S"
"10N",1,"10N","RTA - Santa Maria / San Luis Obispo",3,ED028C,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=10N"
"10S",1,"10S","RTA - San Luis Obispo / Santa Maria",3,ED028C,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=10S"
"12N",1,"12N","RTA - San Luis Obispo / Morro Bay / Los Osos",3,008A9E,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=12N"
"12S",1,"12S","RTA - Los Osos / Morro Bay / San Luis Obispo",3,008A9E,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=12S"
"14N",1,"14N","RTA - Government Center / CalPoly / Cuesta College",3,00AEEF,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=14N"
"15N",1,"15N","RTA - Morro Bay / San Simeon",3,7961AA,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=15N"
"15S",1,"15S","RTA - San Simeon / Morro Bay",3,7961AA,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=15S"
"21",1,"21","SCT - Pismo Beach / Shell Beach / Grover Beach / Oceano / Arroyo Grande",3,9CC966,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=21"
"24",1,"24","SCT - Arroyo Grande / Pismo Beach / Grover Beach",3,EF674A,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=24"
"27",1,"27","SCT - Grover Beach / Arroyo Grande / Oceano",3,40948D,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=27"
"28",1,"28","SCT - Grover Beach / Oceano / Arroyo Grande",3,47269A,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=28"
"A",1,"A","Paso Express - Route A",3,763A8C,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=A"
"B",1,"B","Paso Express - Route B",3,BB1E24,FFFFFF,"http://slo.connexionz.net/RTT/Public/Schedule.aspx?RouteNo=B"
