route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"14N",3,2,"Achievement House",1,9092,4
"21",3,3,"Ramona Garden Park",1,2101,8
"27",3,4,"Grover; Oceano; Arroyo Grande",1,2101,21
"21",3,5,"Pismo Beach Premium Outlets",1,2101,10
"24",1,6,"Pismo Beach Premium Outlets",0,2401,23
"24",1,7,"Ramona Garden Park",0,2401,22
"28",1,8,"Grover; Oceano; Arroyo Grande",0,2401,20
"24",1,9,"Pismo Beach Premium Outlets",0,2401,13
"24",2,10,"Ramona Garden Park",0,2401,22
"28",2,11,"Grover; Oceano; Arroyo Grande",0,2401,20
"24",2,12,"Pismo Beach Premium Outlets",0,2401,13
"9S",3,13,"Government Center; Transfer to Routes 9, 12 & 14",0,9094,113
"21",3,14,"Pismo Beach Premium Outlets",1,2701,10
"21",3,15,"Ramona Garden Park",1,2701,8
"28",1,16,"Grover; Oceano; Arroyo Grande",0,2801,20
"24",1,17,"Pismo Beach Premium Outlets",0,2801,13
"9S",3,19,"Government Center; Transfer to Routes 9, 12 & 14",0,9096,65
"24",1,20,"Ramona Garden Park",0,2801,22
"9S",3,21,"Government Center; Transfer to Routes 9, 12 & 14",0,9096,65
"9N",3,22,"Paso Robles; Cuesta College North",1,9096,68
"9N",3,24,"North County Transit Center",1,9096,97
"9S",3,26,"Government Center",0,9097,112
"9N",3,27,"North County Transit Center",1,9097,97
"9S",3,28,"Government Center; Transfer to Routes 9, 12 & 14",0,9098,65
"9S",3,30,"Government Center",0,9098,112
"9N",3,31,"North County Transit Center",1,9098,93
"12S",3,35,"Government Center Express",0,12121,86
"21",3,38,"Pismo Beach Premium Outlets",1,2101,9
"24",2,48,"Pismo Beach Premium Outlets",0,2801,13
"24",2,49,"Ramona Garden Park",0,2801,22
"28",2,50,"Grover; Oceano; Arroyo Grande",0,2801,20
"12S",3,52,"Government Center",0,12123,62
"15N",3,53,"San Simeon",1,15151,82
"15S",3,54,"Morro Bay",0,15151,98
"15N",3,55,"San Simeon",1,15152,129
"15S",3,56,"Morro Bay",0,15152,126
"B",3,57,"North County Transit Center",0,8000,96
"9S",3,58,"Government Center; Transfer to Routes 9, 12 & 14",0,9095,65
"9N",3,59,"San Miguel",1,9095,100
"9S",3,60,"North County Transit Center",0,9095,83
"9S",3,69,"Government Center; Transfer to Routes 9, 12 & 14",0,9097,65
"24",3,70,"Pismo Beach Premium Outlets",0,2401,23
"9N",3,71,"Paso Robles; Cuesta College North",1,9093,68
"9S",3,72,"Government Center",0,9095,112
"9N",3,73,"Paso Robles; Cuesta College North",1,9093,68
"9S",3,74,"North County Transit Center",0,9093,16
"9S",3,75,"Government Center; Transfer to Routes 9, 12 & 14",0,9091,113
"9N",3,76,"Paso Robles; Cuesta College North",1,9091,68
"9S",3,77,"Government Center; Transfer to Routes 9, 12 & 14",0,9092,114
"9S",3,78,"Government Center",0,9091,112
"9N",3,79,"Paso Robles; Cuesta College North",1,9091,68
"9N",3,80,"Paso Robles; Cuesta College North",1,9094,68
"9S",3,81,"Government Center",0,9094,112
"9N",3,82,"Paso Robles; Cuesta College North",1,9094,68
"9S",3,83,"Government Center",0,9093,112
"9N",3,84,"Paso Robles; Cuesta College North",1,9092,68
"9N",3,85,"San Miguel",1,9092,60
"9S",3,86,"Government Center",0,9092,95
"9N",3,87,"North County Transit Center",1,9092,97
"9N",3,88,"Paso Robles; Cuesta College North",1,9097,68
"9N",3,89,"Paso Robles; Cuesta College North",1,9098,68
"10N",3,92,"Government Center",1,10101,73
"10S",3,93,"Santa Maria Transit Center",0,10101,119
"10N",3,94,"Government Center",1,10101,118
"10S",3,95,"Santa Maria Transit Center",0,10101,119
"10N",3,96,"Government Center",1,10101,118
"10S",3,97,"Santa Maria Transit Center",0,10102,119
"10N",3,98,"Government Center",1,10102,118
"10S",3,99,"Santa Maria Transit Center",0,10102,119
"10N",3,100,"Government Center",1,10102,118
"9S",4,550,"Government Center",0,9902,109
"9N",4,551,"San Miguel",1,9902,100
"9S",4,552,"North County Transit Center",0,9902,83
"9N",4,554,"San Miguel",1,9905,110
"9S",4,556,"Government Center",0,9901,95
"9N",4,557,"North County Transit Center",1,9901,97
"21",3,558,"Pismo Beach Premium Outlets",1,2101,10
"21",3,559,"Pismo Beach Premium Outlets",1,2101,9
"21",3,560,"Pismo Beach Premium Outlets",1,2101,9
"21",3,562,"Pismo Beach Premium Outlets",1,2101,9
"21",3,563,"Pismo Beach Premium Outlets",1,2101,9
"21",3,564,"Pismo Beach Premium Outlets",1,2101,9
"21",3,565,"Pismo Beach Premium Outlets",1,2101,9
"21",3,566,"Pismo Beach Premium Outlets",1,2101,9
"21",3,569,"Pismo Beach Premium Outlets",1,2101,9
"21",3,570,"Pismo Beach Premium Outlets",1,2101,9
"21",3,571,"Ramona Garden Park",1,2101,8
"24",3,572,"Pismo Beach Premium Outlets",0,2401,13
"24",3,577,"Pismo Beach Premium Outlets",0,2401,23
"24",3,578,"Pismo Beach Premium Outlets",0,2401,23
"24",3,579,"Pismo Beach Premium Outlets",0,2401,23
"24",3,580,"Pismo Beach Premium Outlets",0,2401,23
"24",3,581,"Pismo Beach Premium Outlets",0,2401,23
"24",3,582,"Pismo Beach Premium Outlets",0,2401,23
"24",3,583,"Pismo Beach Premium Outlets",0,2401,23
"24",3,584,"Pismo Beach Premium Outlets",0,2401,23
"24",3,585,"Ramona Garden Park",0,2401,22
"27",3,586,"Grover; Arroyo Grande; Oceano",1,2701,28
"27",3,587,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,588,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,589,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,590,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,591,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,592,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,593,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,594,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,595,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,597,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,598,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,599,"Grover; Oceano; Arroyo Grande",1,2701,21
"27",3,600,"Grover; Oceano; Arroyo Grande",1,2701,21
"28",3,601,"Grover; Oceano; Arroyo Grande",0,2801,20
