route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
4,W&M-Sa,W&M-SaFull-Sa-154f844,New Town at Avenue at Velocity.,0,4A,4_2576942_2577026
4,W&M-Sa,W&M-SaFull-Sa-bd7093d-4,New Town at Avenue at Velocity.,0,4A,4_2576942_2577026
4,W&M-Sa,W&M-SaFull-Sa-80184e7,East roshahmhbeau drive at Wal-Mart,1,4A,4_2577026_2576942_1
4,W&M-Sa,W&M-SaFull-Sa-154f844-4,New Town at Avenue at Velocity.,0,4A,4_2576942_2577026
4,W&M-Sa,W&M-SaFull-Sa-cdb82cf,East roshahmhbeau drive at Wal-Mart,1,4A,4_2577026_2576942_1
4,W&M-Sa,W&M-SaFull-Sa-80184e7-4,East roshahmhbeau drive at Wal-Mart,1,4A,4_2577026_2576942_1
3,W&M-Sa,W&M-SaFull-Sa-4f99c3b,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-db4e0eb,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-ec63b3e,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-846b87a,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
9,W&M-Sa,W&M-SaCWF-Weekday-90f73c6,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
9,W&M-Sa,W&M-SaCWF-Weekday-579ebc3,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
9,W&M-Sa,W&M-SaCWF-Weekday-35f7168,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
9,W&M-Sa,W&M-SaCWF-Weekday-cab52ae,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
9,W&M-Sa,W&M-SaCWF-Weekday-6d37889,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
9,W&M-Sa,W&M-SaCWF-Weekday-3c41e36,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
7,W&M-Sa,W&M-SaCWF-Weekday-4ceff33,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
9,W&M-Sa,W&M-SaCWF-Weekday-841a823,Bahruhm's villroad at LaGrange Park way.,0,9A,9_2576942_2577001
7,W&M-Sa,W&M-SaCWF-Weekday-cc7e7c7-2,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaCWF-Weekday-cc7e7c7,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaCWF-Weekday-4fdb1bf-2,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaCWF-Weekday-4fdb1bf,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaCWF-Weekday-563e1cb-2,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaCWF-Weekday-563e1cb,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-cdaebc7-1,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-cdaebc7,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-7b9e95b,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-43bab85,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-a2a96bb,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-b415a41,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-a737051,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-d5244c8,East roshahmhbeau drive at Wal-Mart,0,7A,7_2577091_2576942
7,W&M-Sa,W&M-SaFull-Sa-e206409,North Boundary St at Williamsburg Transit Center,1,7A,7_2576942_2577091
3,W&M-Sa,W&M-SaFull-Sa-36705bc,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-1578033,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-b0e988e,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-d69ca8c,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-a97bf1f,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-e6aea61,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-09a0cf9,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-511dd36,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
3,W&M-Sa,W&M-SaFull-Sa-c7f9d2a,Tam-O-Shanter Blvd at Merrimac Trl,0,3A,3_2577091_2577048
2,W&M-Sa,W&M-SaFull-Sa-a0af6fb,East roshahmhbeau drive at Wal-Mart,0,2A,2_2577091_2576942
3,W&M-Sa,W&M-SaFull-Sa-87ade94,North Boundary St at Williamsburg Transit Center,1,3A,3_2577048_2577091
2,W&M-Sa,W&M-SaFull-Sa-e2ec2a8,East roshahmhbeau drive at Wal-Mart,0,2A,2_2577091_2576942
2,W&M-Sa,W&M-SaFull-Sa-038bf16,East roshahmhbeau drive at Wal-Mart,0,2A,2_2577091_2576942
2,W&M-Sa,W&M-SaFull-Sa-62558f4,East roshahmhbeau drive at Wal-Mart,0,2A,2_2577091_2576942
